OID_,block_vtda,state,Shape_Length,Shape_Area,ID,OBJECTID,Join_Count,TARGET_FID,ID_1,DISTRICT,POPULATION,sld_u22,Shape_Length_1,Shape_Area_1
1676,35049000026,35,0.026317294775824,0.000028895670000,1675,1676,1,1676,18,25,51100,35025,2.051235253166463,0.107214429381498
1677,35049000027,35,0.026564212223970,0.000029278646500,1676,1677,1,1677,18,25,51100,35025,2.051235253166463,0.107214429381498
1678,35049000028,35,0.079408403480978,0.000133785384000,1677,1678,1,1678,18,25,51100,35025,2.051235253166463,0.107214429381498
1679,35049000029,35,0.051243265710186,0.000113603846500,1678,1679,1,1679,18,25,51100,35025,2.051235253166463,0.107214429381498
1680,35049000030,35,0.055242531057480,0.000108759275500,1679,1680,1,1680,18,25,51100,35025,2.051235253166463,0.107214429381498
1681,35049000031,35,0.072941211593413,0.000143605881000,1680,1681,1,1681,17,24,51146,35024,0.371030842949940,0.003821185664500
1682,35049000032,35,0.044047366670138,0.000066795933000,1681,1682,1,1682,17,24,51146,35024,0.371030842949940,0.003821185664500
1683,35049000033,35,0.037423382348575,0.000078121407500,1682,1683,1,1683,17,24,51146,35024,0.371030842949940,0.003821185664500
1684,35049000034,35,0.028713029565284,0.000050108528000,1683,1684,1,1684,17,24,51146,35024,0.371030842949940,0.003821185664500
1685,35049000035,35,0.047514545969780,0.000126148680000,1684,1685,1,1685,17,24,51146,35024,0.371030842949940,0.003821185664500
1686,35049000036,35,0.043116280560972,0.000079135517500,1685,1686,1,1686,18,25,51100,35025,2.051235253166463,0.107214429381498
1687,35049000037,35,0.054911293436322,0.000181512820000,1686,1687,1,1687,18,25,51100,35025,2.051235253166463,0.107214429381498
1688,35049000038,35,0.066851049893343,0.000140659854500,1687,1688,1,1688,17,24,51146,35024,0.371030842949940,0.003821185664500
1689,35049000039,35,0.027299703500313,0.000040926292000,1688,1689,1,1689,17,24,51146,35024,0.371030842949940,0.003821185664500
1690,35049000040,35,0.517644840386686,0.012296479994498,1689,1690,1,1690,39,6,51532,35006,7.287348947688177,0.595562068563500
1691,35049000041,35,0.031682609588066,0.000058877967000,1690,1691,1,1691,17,24,51146,35024,0.371030842949940,0.003821185664500
1692,35049000042,35,0.032310514440201,0.000054182820000,1691,1692,1,1692,17,24,51146,35024,0.371030842949940,0.003821185664500
1693,35049000043,35,0.048768827784094,0.000089103088500,1692,1693,1,1693,18,25,51100,35025,2.051235253166463,0.107214429381498
1694,35049000044,35,0.033990262114782,0.000055767694000,1693,1694,1,1694,18,25,51100,35025,2.051235253166463,0.107214429381498
1695,35049000045,35,0.041715403804306,0.000100287731500,1694,1695,1,1695,18,25,51100,35025,2.051235253166463,0.107214429381498
1696,35049000046,35,0.052516765850303,0.000139913289500,1695,1696,1,1696,18,25,51100,35025,2.051235253166463,0.107214429381498
1697,35049000047,35,0.044536619953089,0.000069189675000,1696,1697,1,1697,18,25,51100,35025,2.051235253166463,0.107214429381498
1698,35049000048,35,0.451343670457306,0.004832991112500,1697,1698,1,1698,18,25,51100,35025,2.051235253166463,0.107214429381498
1699,35049000049,35,0.032884314848527,0.000062623648000,1698,1699,1,1699,17,24,51146,35024,0.371030842949940,0.003821185664500
1700,35049000050,35,0.036375370554268,0.000069106817500,1699,1700,1,1700,17,24,51146,35024,0.371030842949940,0.003821185664500
1701,35049000051,35,0.027770933297680,0.000049787414000,1700,1701,1,1701,17,24,51146,35024,0.371030842949940,0.003821185664500
1702,35049000052,35,0.036013247179691,0.000077219641000,1701,1702,1,1702,18,25,51100,35025,2.051235253166463,0.107214429381498
1703,35049000053,35,0.063829095207890,0.000120212042000,1702,1703,1,1703,18,25,51100,35025,2.051235253166463,0.107214429381498
1704,35049000054,35,0.069640052681725,0.000152514355500,1703,1704,1,1704,18,25,51100,35025,2.051235253166463,0.107214429381498
1705,35049000055,35,0.099097853231604,0.000268977247000,1704,1705,1,1705,18,25,51100,35025,2.051235253166463,0.107214429381498
1706,35049000056,35,0.094876385071328,0.000368425903500,1705,1706,1,1706,17,24,51146,35024,0.371030842949940,0.003821185664500
1707,35049000057,35,0.824501629786389,0.018077732505000,1706,1707,1,1707,18,25,51100,35025,2.051235253166463,0.107214429381498
1708,35049000058,35,0.089789021348982,0.000272863716000,1707,1708,1,1708,38,5,49357,35005,6.266535837736372,0.625411196881496
1709,35049000059,35,0.265643245460740,0.003278941276001,1708,1709,1,1709,39,6,51532,35006,7.287348947688177,0.595562068563500
